1000	1	I'm surprised i have not reviewed this place yet!! By far my favorite restaurant in vegas... i know there is no famous chef here, or the place is not named after a famous chef, but hey its 24 hours, the best bread on the strip and servings are huge!! IMO an upscale cheesecake factory... the fries are DELICIOUS... and those philly cheese egg rolls or something like that are pretty yummy as well!!  Definitely go here at least 2 times on all my visits to sin city! Wait is never too bad and prices are decent, much better than the overpriced restaurants in vegas, and i can come here in PJs!!
1001	1	We stayed at the NYNY hotel and walked past this place quite a bit before we decided to stop and try it. I had the Roadshack (I think) with fries. It was delicious. The burger was cooked perfectly and had really good flavor, the caramelized onions on top were also super delicious. We had a chocolate shake that was very good. It was chocolaty but not too sweet, like it was made with real chocolate. It was a little crowded i side but that's to be expected. Customer service was also oustanding!
1002	0	Food portions here are absolutely vile, there is just no need to serve such huge plates of food especially when you see the amount going back to the kitchen wasted.  You see enough homeless people in Vegas and this wastage just annoys the hell out of me.  The service was terrible when we went for breakfast one morning, we were seated straight away but it was absolutely ages before we placed our order with the waitress and then again for drinks to turn up and then for the food to turn up.  The quality of food was on par with Dennys but was at least twice the price.    I won't bother with this place again, maybe dinner is better but I won't be giving it a try.
1003	0	This hotel was an absolute disappointment. We paid a great price online but walked into a room that was run down and raggedy. There was black mold on the outside of the bath tub and mysterious yellow goo on the bathroom door. My husband is allergic to dust mites, so the two inch layer of dust underneath the headboard of the bed almost sent him into an asthma attack. I complained every morning I was there, but they didnt do much. The only electrical outlet with enough outlets to charge my phones did not work. The bathroom light was broken and the closet door did not open and close. I will never stay here again.
1004	1	So Hash House A Go Go...  Most people have heard of this place because of Man vs. Food, but I've been a fan of this place for a long time.  Its one of the few places I can say that almost every meal I've had here is a hit.  The prices are decent when you discover that the portions are HUGE.  Beware, you might not finish a meal here.  I've been here countless times, and I've yet to manage to avoid having to take out.  My 2 favorites would have to be either the Chicken Pot Pie or the Fried Chicken Eggs Benedict.  Both of which are ridiculously awesome, and both are one hell of a twist on a classic dish.  The Chicken Pot Pie is essentially a deep fried sombrero on some mash potatoes with the "filling" poured on top.... Its just magical.    The wait usually is pretty long if you go during the peak hours, ie brunch, lunch, dinner, but its totally worth it.  One of my favorite restaurants in Vegas, if not my favorite restaurant in Vegas.  A must go.
1005	0	The food is OK. The price is a little bit higher than outside but you should appreciate they can bring authentic Chinese food into the middle of a casino. The major problem here is that the place always asks how you are going to pay BEFORE placing order. It suggests the place may suffer from ample unpaid checks at ... Bellagio. So show them your wallet BEFORE placing orders to calm them down.
1006	0	Came here for the lunch meal of my Buffet of Buffets day.  Kind of tricky to find as you have to go downstairs from the casino to get to the buffet.    They had tons of stations organized by regions of the world: Middle Eastern, American, Italian, Mexican, Seafood and Salad.  I tried the shrimp cocktail, shrimp tempura, pesto pasta, mashed potatoes, sweet potatoes and designed my own taco.  Nothing was particularly good except the shrimp tempura and sweet potatoes.    This was the buffet with the most esthetically pleasing desserts.  They all looked amazing, so I grabbed a chocolate cream pie, creme brulee, eclair and fruit tart.  Nothing tasted good.  I then decided to get myself some chocolate custard to satisfy my sweet craving.  It was completely liquid and melted.  Disappointing since I'm big on desserts.    May be worth stopping by if the meal is comped or you're a Planet Hollywood guest that is too lazy to go anywhere else.  I wouldn't pay to go back.
1007	0	I've been coming to this buffet before it was even called Flavors... Basically it's like an international buffet but the variety within each country is limited. The quality reminded me of hometown buffet, but it gets the job done of getting you full.  Came here during breakfast not really hungry. Stuffing yourself in sin city, what they hey? seems appropriate. There was nothing that I didn't try at this place. If you dined with me before at a buffet, you'd know I eat a lot (like there's no tomorrow). They had an omelet bar which seemed like a hit due to the line, but I'm against the whole waiting in line in a buffet while food is all around you.  I can point out many flaws of this place. Service sucked coming from a deaf server who worked as slow as a Windows 98 computer, prime rib was as chewy as the Trident gum I had in my pocket, scrambled eggs had a cake texture that you had to cut through, breakfast sausages had a casing stronger than my iPhone's, crab legs were puny, sushi tasted and looked like two colored lego pieces.   Couple of goods were the bacon, crisp, unburnt with a great porky taste. Broccoli were steamed to the right texture. The sashimi got me going back for more. I had a good 2 or 3 platefuls of these suckers. The best thing you can creatively make at this place is tuna w/ 'broccoli rice' wrapped in bacon "sushi". I also got bored with flavors from eating everything separately so I made prime rib tacos, mock sausage bacon and egg biscuits from McDonalds, vanilla tart using vanilla syrup and a heart waffle, and a sashimi sandwich with a dinner roll.   For about 25 bucks a head, you'll get full off of "ehh" quality food, but it gives you a reason to be playful as well because you won't feel so bad from eating plates of bland food.   P.S. - save room for dessert and don't eat here! They skimp on the sugar, oil, butter or something that has to deal with sweets' flavor. There's a Ghirardelli shop a couple steps from the buffet that'll oversatisfy your taste buds for sure.
1008	1	Everyone is sooooo nice here. The customer service is great and of course the food is amazing. Not only will I be coming back as much as possible I will recommend it to my friends. I'm not a huge beef person but I got the lonely bird which was recommended to me and it is more than delicious. Milkshake infused alcohol is amazing as well. Everything is just so perfect about this place.
1009	0	VERY disappointing!! Even after a lot of drinking the hot dogs here sucks!!! First they are expensive as hell and lack flavor. The flavor is going depend on what kind of hotdog you order. The hotdog itself is blan!  GO to Earl of Sandwich, ALSO in planethollywood, you will NOT be disappointed.
1010	1	Went all out for this meal. A5 Kobe beef, just wow. Melt in your mouth heaven. For sides we had Brussels sprouts, asparagus, Mac n cheese and creamed spinach. All very good.   Dessert can't go wrong with English toffee caramel cake and brown butter ice cream. Overall amazing!!  Gordon steak 2/2! Great Job!
1011	1	Finally breakfast is something fun again.  Hash House A Go-Go has made breakfast hip and fun again.  The food is terrific.  Giant portions of flavorful, unique and delicious food.    It is a expensive...for breakfast, but not for the original food.    This place is much more than eggs and hash browns.  It is an experience.
1012	0	I am not sure if it is the fact that this Lee's Sandwich is located in Las Vegas, that the owners feel compelled to follow the lead of other well-known and loved California-based eateries (i.e., Pinks Hotdog, Sam Woos) that set up shop here, by jacking up the price and cutting back on what it serves.  At least that is what I think after visiting Lee's post their officially grand opening.  Sandwiches still taste the same, except you just get less of everything that goes in between the fresh baked baguette (meat, pickled radish and carrots and even cilantro and slices of chilie).  Iced coffee still tastes great, except you get more ice than coffee.  Even if you ask for less ice, you will get less ice but also a cup that is not full (imagine an inch of nothing to top of your plastic cup).  Anyway, the place is new and very nice looking.  Staff is still trying to master the sandwich menu, so I am sure eventually they will get faster with fulfilling the orders.  But unless they start to serve what we can get normally at all the other Lee's sandiwch shops up and down California, potential customers are better off patronizing other local banh mi shops.  And there are quite a few of them just a few blocks down Spring Mountain Rd.  I wish I can like this Lee's Sandwich more, but after a few visits I am too disappointed to want to go back.  As it stands, I feel that this Lee's is trying to set the bar extremely low for what customers should expect from this location, perhaps not realizing that a vast majority of the patrons have had the Lee's experience from California prior to visiting this one.  I can only guess that as a new food service operator in Las Vegas, they failed to do any sort of market or demographic analysis and/or extremely ignorant of the commonsense knowledge that roughly 50% of the visitors that come to LV are visiting from CA (land of the Lee's Sandwiches).  So we will see how well they fare after the novelty wears out, because without a course correction I see only iceberg ahead for this Titanic of a Lee's Sandwich.  (UPDATE) - From David Y: A worker told him to ask for "less ice and more coffee" when ordering their Lee's Iced Coffee, otherwise the future lawyers fulfilling the orders behind the counter will do exactly as the customer requested. How knew ordering a effing cup of the common Vietnamese Iced Coffee is the stepping stone to studying for the LSAT.
